Date,France DA (EUR/MWh)
2021-12-01,277.77
2021-12-02,299.22
2021-12-03,222.17
2021-12-06,258.65
2021-12-07,247.43
2021-12-08,287.5
2021-12-09,247.19
2021-12-10,249.47
2021-12-13,329.27
2021-12-14,346.28
2021-12-15,353.09
2021-12-16,341.24
2021-12-17,315.8
2021-12-20,442.88
2021-12-21,452.94
2021-12-22,416.44
2021-12-23,319.53
2021-12-24,218.11
2021-12-29,105.74
2021-12-30,120.02
2021-12-31,87.08
2022-01-04,185.56
2022-01-05,225.77
2022-01-06,215.92
2022-01-07,176.56
2022-01-10,253.96
2022-01-11,237.2
2022-01-12,223.7
2022-01-13,233.58
2022-01-14,220.5
2022-01-17,244.83
2022-01-18,236.03
2022-01-19,228.02
2022-01-20,216.69
2022-01-21,202.74
2022-01-24,295.11
2022-01-25,275.45
2022-01-26,262.15
2022-01-27,250.65
2022-01-28,218.9
2022-01-31,213.76
2022-02-01,205.81
2022-02-02,205.97
2022-02-03,192.81
2022-02-04,193.28
2022-02-07,202.53
2022-02-08,209.29
2022-02-09,204.92
2022-02-10,206.96
2022-02-11,190.93
2022-02-14,193.45
2022-02-15,152.46
2022-02-16,132.7
2022-02-17,158.69
2022-02-18,115.95
2022-02-21,175.0
2022-02-22,189.38
2022-02-23,187.14
2022-02-24,245.43
2022-02-25,243.4
2022-02-28,270.02
2022-03-01,274.02
2022-03-02,346.67
2022-03-03,363.7
2022-03-04,355.04
2022-03-07,540.66
2022-03-08,462.3
2022-03-09,367.23
2022-03-10,278.65
2022-03-11,263.96
2022-03-14,295.77
2022-03-15,278.33
2022-03-16,260.26
2022-03-17,233.83
2022-03-18,208.45
2022-03-21,239.93
2022-03-22,239.93
2022-03-23,248.21
2022-03-24,272.79
2022-03-25,231.24
2022-03-28,260.19
2022-03-29,301.26
2022-03-30,294.2
2022-03-31,317.5
2022-04-01,302.92
2022-04-04,308.3
2022-04-05,274.35
2022-04-06,219.54
2022-04-07,248.11
2022-04-08,241.63
2022-04-11,239.96
2022-04-12,238.08
2022-04-13,227.92
2022-04-14,199.74
2022-04-19,206.0
2022-04-20,202.56
2022-04-21,200.52
2022-04-22,172.36
2022-04-25,243.57
2022-04-26,222.02
2022-04-27,230.2
2022-04-28,228.17
2022-04-29,200.93
2022-05-03,218.21
2022-05-04,234.28
2022-05-05,225.36
2022-05-06,201.43
2022-05-09,207.13
2022-05-10,191.42
2022-05-11,196.25
2022-05-12,203.91
2022-05-13,183.59
2022-05-16,229.81
2022-05-17,213.33
2022-05-18,213.88
2022-05-19,207.39
2022-05-20,177.81
2022-05-23,183.18
2022-05-24,191.13
2022-05-25,166.02
2022-05-26,162.85
2022-05-27,151.16
2022-05-30,211.04
2022-05-31,216.85
2022-06-01,193.49
2022-06-06,188.1
2022-06-07,191.83
2022-06-08,185.19
2022-06-09,194.05
2022-06-10,182.38
2022-06-13,211.44
2022-06-14,233.26
2022-06-15,272.85
2022-06-16,303.54
2022-06-17,280.15
2022-06-20,354.03
2022-06-21,383.14
2022-06-22,352.56
2022-06-23,302.6
2022-06-24,258.43
2022-06-27,366.4
2022-06-28,366.4
2022-06-29,362.06
2022-06-30,343.16
2022-07-01,265.62
2022-07-04,371.6
2022-07-05,388.69
2022-07-06,388.69
2022-07-07,410.95
2022-07-08,332.92
2022-07-11,432.43
2022-07-12,446.96
2022-07-13,386.72
2022-07-14,397.49
2022-07-15,320.3
2022-07-18,521.3
2022-07-19,589.22
2022-07-20,555.36
2022-07-21,494.03
2022-07-22,348.32
2022-07-25,532.25
2022-07-26,529.62
2022-07-27,534.68
2022-07-28,499.49
2022-07-29,397.53
2022-08-01,471.64
2022-08-02,508.48
2022-08-03,482.37
2022-08-04,482.37
2022-08-05,282.4
2022-08-08,347.71
2022-08-09,336.05
